N°,Site,Longitude,Latitude,Altitude,Ic,Classe_Ic
3575,Tumbwe,27.38689213,-11.47630568,1333.489,1.36,Dur
3576,Tumbwe,27.39274912,-11.47628323,1340.132,1.19,Dur
3577,Tumbwe,27.38725647,-11.47628911,1334.187,1.47,Dur
3578,Tumbwe,27.38386863,-11.47629277,1325.325,1.96,Dur
3579,Tumbwe,27.38762388,-11.47628588,1333.136,0.72,Terne
3580,Tumbwe,27.38327222,-11.47628826,1326.515,0.65,Terne
3581,Tumbwe,27.3927235,-11.47626677,1340.15,1.03,Dur
3582,Tumbwe,27.38662568,-11.47626662,1330.212,0.56,Terne
3583,Tumbwe,27.39268164,-11.47624092,1339.952,1.12,Dur
3584,Tumbwe,27.39018394,-11.4762437,1337.569,3.86,Dur
3585,Tumbwe,27.39018315,-11.4762427,1337.56,1.19,Dur
3586,Tumbwe,27.39018315,-11.4762427,1337.56,0.76,Mi-dur
3587,Tumbwe,27.38734888,-11.47624598,1334.341,1.19,Dur
3588,Tumbwe,27.39005488,-11.47624097,1337.35,1.78,Dur
3589,Tumbwe,27.38902721,-11.47623872,1336.261,1.77,Dur
3590,Tumbwe,27.38397064,-11.47624507,1325.319,45.19,Dur
3591,Tumbwe,27.39003249,-11.47623291,1337.328,-0.79,Liquide
3592,Tumbwe,27.392642,-11.47621446,1340.093,1.38,Dur
3593,Tumbwe,27.38731008,-11.47621678,1334.341,3.22,Dur
3594,Tumbwe,27.38686071,-11.47621628,1333.411,1.35,Dur
3595,Tumbwe,27.3900863,-11.47620907,1337.372,1.66,Dur
3596,Tumbwe,27.38853125,-11.47620572,1335.726,1.03,Dur
3597,Tumbwe,27.39261667,-11.47619642,1339.809,2.03,Dur
3598,Tumbwe,27.3900688,-11.47618551,1337.342,0.77,Mi-dur
3599,Tumbwe,27.39011968,-11.47618282,1337.529,1.05,Dur
3600,Tumbwe,27.38392936,-11.47618634,1325.024,0.67,Terne
3601,Tumbwe,27.39257832,-11.47617323,1339.828,1.03,Dur
3602,Tumbwe,27.38684589,-11.47618059,1333.282,27.39,Dur
3603,Tumbwe,27.39163469,-11.47617208,1338.348,1.54,Dur
3604,Tumbwe,27.38046095,-11.47618272,1329.509,1.08,Dur
3605,Tumbwe,27.38684303,-11.47616865,1333.358,1.36,Dur
3606,Tumbwe,27.3925515,-11.47615644,1339.821,1.19,Dur
3607,Tumbwe,27.39008385,-11.47615734,1337.44,1.47,Dur
3608,Tumbwe,27.3874054,-11.47615533,1334.318,1.96,Dur
3609,Tumbwe,27.39144139,-11.47614806,1337.933,0.72,Terne
3610,Tumbwe,27.3845175,-11.47614935,1326.346,0.65,Terne
3611,Tumbwe,27.39251143,-11.47613111,1340.032,1.03,Dur
3612,Tumbwe,27.38401261,-11.47614039,1325.389,0.56,Terne
3613,Tumbwe,27.38680425,-11.47613225,1333.243,1.12,Dur
3614,Tumbwe,27.38394465,-11.4761331,1325.076,3.86,Dur
3615,Tumbwe,27.38738548,-11.47612325,1334.432,1.19,Dur
3616,Tumbwe,27.3924836,-11.47611272,1339.936,0.76,Mi-dur
3617,Tumbwe,27.38719766,-11.47611938,1332.265,1.19,Dur
3618,Tumbwe,27.38856742,-11.47611434,1335.728,1.78,Dur
